"cpu_name","task_id","config_id","profile_id","seconds"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2020.0_debug","py38_2threads","3.886498133341471"
"AMD EPYC 7763 64-Core Processor","dot4096","mkl2020.0_debug","py38_2threads","3.0556825399398804"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2020.0_debug","py38_2threads","1.1563470628526475"
"AMD EPYC 7763 64-Core Processor","dot524288","mkl2020.0_debug","py38_2threads","0.000268720950087029"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2020.0_debug","py38_2threads","0.0002671829512884465"
"AMD Ryzen Threadripper 3970X 32-Core Processor","svd","mkl2020.0_debug","py38_16threads","0.48529417174203054"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2020.0_debug","py38_16threads","3.4508491357167563"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2020.0_debug","py38_16threads","3.9868509769439697"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2020.0_debug","py38_16threads","0.23772984881733739"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2020.0_debug","py38_16threads","0.0002763860228708626"
"AMD EPYC 7763 64-Core Processor","svd","mkl2020.0","py38_2threads","1.3778067231178284"
"AMD Ryzen Threadripper 3970X 32-Core Processor","svd","mkl2020.0","py38_2threads","0.7158164126532418"
"AMD EPYC 7763 64-Core Processor","evd","mkl2020.0","py38_2threads","8.22473394870758"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2020.0","py38_2threads","4.171112537384033"
"AMD EPYC 7763 64-Core Processor","cvxprog","mkl2020.0","py38_2threads","3.731667915980021"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2020.0","py38_2threads","3.849708159764608"
"AMD EPYC 7763 64-Core Processor","dot4096","mkl2020.0","py38_2threads","3.1684136390686035"
